"Exclusive Camera","Cámara exclusiva"
"Subscription option","Opción de suscripción"
"General Subscription","Suscripción general"
"My Returns","Mis devoluciones"
"Request New Returns","Solicitar nuevas devoluciones"
"or as low as","o tan bajo como"
"Lsit","Lista"
"Sort By","Ordernar por"
"Tv wall mounting options","Tv opciones de montaje en pared"
"added","adictional"
"Estimated Total","Total Estimado"
"Delivery Method","Método de entrega"
"Shipping and Billing","Envío y facturación"
"Shipping","Envío"
"Review & Payments","Revisión y pagos"
"Order Details","Detalles del pedido"
"Select delivery option","Seleccione la opción de envío"
"Order Summary","Resumen del pedido"
"Order Total","Total del pedido"
"Item Price","Precio del articulo"
"Promotional codes","promocionales."
"Change","Cambio"
"Available Stores","Tiendas disponibles"
"Select","Seleccionar"
"Store Pickup","Recoger en tienda"
"Street Address","Dirección"
"State","Estado"
"Province","Provincia"
"By placing your order, you agree to","Al realizar su pedido, usted acepta"
"My billing and shipping address are the same","Mi dirección de facturación y envío son las mismas"
"Best Sellers","Los más vendidos"
"All Categories","Todas las categorias"
"Sign up here","Registrate aquí"
"Sign in!","¡Registrarse!"
"From your My Account Dashboard you have the ability to view snapshot of your recent activity and update your account information. Select a link below to view or edit information.","Desde el Panel de Mi Cuenta, tiene la capacidad de ver una instantánea de su actividad reciente y actualizar la información de su cuenta. Seleccione un enlace a continuación para ver o editar información."
"You aren't subscribed to our newsletter.","No estás suscrito a nuestro boletín."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no orders.","No has realizado ningún pedido."
"Save Address","Guardar direccion"
"State/Province","Provincia del estado"
"Phone Number","Número de teléfon"
"Company","Empresa"
"Your orders","Tus ordenes"
"Sign Out","Desconectar"
"Or as low as","O tan bajo como"
"Or as low as&nbsp","O tan bajo como"
"month","mes"
"Enter a location","Introduce una ubicación"
"Search results for:","Resultados de búsqueda para:"
"Get within 5-6 days","Obtener dentro de 5-6 días"
"Category","Categoría"
"Storage Capacity","Capacidad de almacenamiento"
"Price","Precio"
"Off","Apagado"
"Hello, sign in","Hola Iniciar sesión"
"Clearance","Despeje"
"Home","Página de inicio"
"Today's Deals","Especiales de hoy"
"sample label","etiqueta de muestra"
"There are no Returns","No hay devoluciones"
"Request New Return","Solicitar nueva devolución"
"Customer email address cannot be empty","La dirección de correo electrónico del cliente no puede estar vacía"
"Curacao account verification failed. Please try later.","La verificación de la cuenta de Curazao falló. Por favor intente mas tarde."
"OFF","APAGADO"
"The given curacao identification number is wrong. Please try again.","El número de identificación de Curacao dado es incorrecto. Inténtalo de nuevo."
"Verify Account by Phone","Verificar cuenta por teléfono"
"To confirm your account, we will send you a security code.","Para confirmar su cuenta, le enviaremos un código de seguridad."
"Call","Llamada"
"Verify account","Verificar Cuenta"
"or","o"
"Verify Personal Information","Verificar información personal"
"Enter Last 4 Digits of your SSN","Ingrese los últimos 4 dígitos de su SSN"
"Zipcode","Código postal"
"Enter Zipcode","Ingresa tu código postal"
"Enter Mother\'s Maiden name","Ingrese el apellido de soltera de la madre"
"Submit","Enviar"
"Enter Code","Introduzca el código"
"View Order","Ver pedido"
"Reorder","Reordenar"
"Date","Fecha"
"Order #","Orden #"
"Ship To","Envie a"
"Order Total","Total del pedido"
"Status","Estado"
"Action","Acción"
"To confirm your account, please complete","Para confirmar su cuenta, por favor complete"
"the following information.","la siguiente información."
"Store Locations","Ubicaciones de tiendas"
"You added","Tu agregaste"
"to your shopping cart.","a su carrito de compras."
"Recently Viewed","Visto recientemente"
"We don't have as many","No tenemos tantos"
" as you requested.","como usted pidió."
"By placing your order, you agree to ","Al realizar su pedido, usted acepta"
"Curacao's","Curazao"
"privacy notice ","aviso de Privacidad"
"conditions of use ","Condiciones de Uso"
"Safe and Secure Payments. Easy returns. 100% Authentic products.","Pagos seguros y protegidos. Devoluciones fáciles. Productos 100% autenticos"
"Order Details ","Detalles del pedido"
"Orders and Returns","Pedidos y Devoluciones"
"Order ID","Solicitar ID"
"Billing Last Name","Apellido de facturación"
"Email","Email"
"Email Address","Dirección de correo electrónico"
'Please enter shipping address if you have opted for "ship to Home".','Por favor, introduzca la dirección de envío si ha optado por "enviar a casa".'
"Add a new ship address","Añadir una nueva dirección de envío"
"Billing Address | Shipping Address","Dirección de facturación | Dirección de Envío"
'Enter billing address to process the invoice in case of both "Ship to home" or "Store Pickup".','ngrese la dirección de facturación para procesar la factura en caso de "Enviar a domicilio" o "Recoger en tienda".'
'Be sure to click "Save this address" when done','
Asegúrese de hacer clic en "Guardar esta dirección" cuando haya terminado'
"Address Lane 1","Dirección carril 1"
"Address Lane 2","Dirección carril 2"
"Delivery Method","Método de entrega"
"Not yet calculated","Aún no calculado"
"Forgot Your Password?","Olvidó su contraseña?"
"When do you need your order?","Cuándo necesitas tu pedido?"
"Shipping address","Dirección de Envío"
"Billing address","Dirección de Envio"
"Don’t have a Curacao account?","No tienes una cuenta en Curazao?"
"Pay with Curacao credit","Pagar con credito de curacao"
"Have a curacao account?","Tienes una cuenta de curazao?"
"Enter account number or code","Ingrese el número de cuenta o código"
"If you have received our pre-approved offer, enter your activation code to set up your account","Si ha recibido nuestra oferta preaprobada, ingrese su código de activación para configurar su cuenta"
"Credit Card Direct Post (Authorize.net)","Tarjeta de Crédito Directo (Authorize.net)"
"Cash On Delivery","Contra reembolso"
"Search Results For:","Resultados de la búsqueda para:"
"Position","Posición"
"Product Name","nombre del producto"
"View all item details","Ver todos los detalles del artículo"
"business days","días hábiles"
"Change shipping metho","Cambiar el método de envío"
"Ground","Suelo"
"View All","Ver todo"
"Want it today?","Lo quieres hoy?"
"Pick it up at","Recogerlo en"
"Check Store Availability","Comprobar disponibilidad de tienda"
"Save in address book","Guardar en libreta de direcciones"
"List","Lista"
"Order Successfully Placed","Orden colocada con éxito"
"Thank you for your purchase! Your order has been received.","Gracias por su compra! Tu orden ha sido recibida"
"Your order number is","tu numero de orden es"
"Your order is","Su orden es"
"You will receive an order confirmation email with details of your order and a link to track its progress.","
Recibirá un correo electrónico de confirmación del pedido con los detalles de su pedido y un enlace para seguir su progreso."
"Shipping address","Dirección de Envío"
"Billing Address","Dirección de Envio"
"Payment Method","Método de pago"
"Quantity:","Cantidad:"
"Delivery","Entrega"
"Store Pickup","Recoger en tienda"
"Continue Shopping","Seguir comprando"
"Order Details","Detalles del pedido"
"Apply Now","Aplica ya"
" Store Locations","Ubicaciones de tiendas"
'Please enter shipping address if you have opted for "ship to Home".','Introduzca la dirección de envío si ha optado por "enviar a casa".'
"Tax","Impuestos"
"We'll Beat any Competitor's Prices","Batiremos los precios de cualquier competidor"
"First Name","Nombre de pila"
"Last Name","Apellido"
"Phone Number","número de teléfono"
"Account Number","Número de cuenta"
"Invoice/Order Number","Factura / Número de pedido"
"Please provide us with the product information with one of the following options","Por favor, proporcione la información del producto con una de las siguientes opciones"
"Competitor's product link","Enlace del producto del competidor"
"OR","O"
"Competitor's product image or screenshot","Imagen de producto de la competencia o captura de pantalla."
"Submit","Enviar"
"Choose File","Elija el archivo"
"No file chosen","Ningún archivo elegido"
"Pay lowest price everytime you shop!","Paga el precio más bajo cada vez que compres!"
"Never worry again about getting the best deal. Curacao’s PRICE
   BEAT GUARANTEE ensures that you are always going to get the best
   deal on any item soldin our store or online, even after you’ve
   already made your purchase.","Nunca más te preocupes por conseguir la mejor oferta. El precio de Curazao
        BEAT GARANTÍA asegura que siempre va a obtener lo mejor
        negocie cualquier artículo vendido en nuestra tienda o en línea, incluso después de que haya
        Ya hiciste tu compra."
        "Curacao strives to ensure that we have competitive pricing
          on all items every day, But on occassion a competitor may
          offer the same item for less. with Curacao’s PRICE BEAT GURANTEE,
          We will not only match the competitors price, but we will BEAT it!
          This is our Promise.","
Curazao se esfuerza por garantizar que tengamos precios competitivos
        en todos los artículos todos los días, pero en ocasiones un competidor puede
        ofrece el mismo artículo por menos. con la garantía de precio de Curacao,
        No solo igualaremos el precio de los competidores, sino que lo VENDEREMOS.
        Esta es nuestra promesa."
"First name is required","Se requiere el primer nombre"
"Last name is required","Se requiere apellido"
"Email-id is required","Email-ID es obligatorio"
"Email-id invalid","ID de correo electrónico no válido"
"Phone number is required","Se requiere numero de telefono"
"Invoice number is required","Se requiere número de factura"
"Product Link or Product Image is required","Se requiere enlace del producto o imagen del producto"
"We will beat any competitors","Vamos a vencer a cualquier competidor"
"Curacao is so confident in our landing practices and the interest
  rate that we offer, We have introduced our INTEREST BEAT GUARANTEE.
  This ensures that our cunsomers can enhoy better interest rates than
  you are able to get with any other retailer’s store credit card.","Curazao es tan confiado en nuestras prácticas de aterrizaje y el interés
       Calificación que ofrecemos, hemos introducido nuestra GARANTÍA DE INTERÉS BEAT.
       Esto asegura que nuestros clientes puedan mejorar las tasas de interés que
       que puede obtener con cualquier otra tarjeta de crédito de la tienda minorista."
"Curacao continually reviews its lending rates and tries to ensure
  that our customers pay competitive rate on their outstanding debt.
  With Curacao’s INTEREST BEAT GUARANTEE, We will not only match
  the competitor’s interest rate, but we will BEAT it! That is our promise.","Curazao revisa continuamente sus tasas de préstamos y trata de garantizar
        Que nuestros clientes paguen una tasa competitiva sobre su deuda pendiente.
        Con la GARANTÍA DE INTEREST BEAT de Curazao, no solo igualaremos
        La tasa de interés de la competencia, ¡pero la VAMOS A VERAR! Esa es nuestra promesa."
"Best seller","Mejor vendido"
"Add New Billing Address","Agregar nueva dirección de facturación"
"Curacao Account Number","Número de cuenta de Curacao"

"Price Beat","Precio Beat"
"Interest Beat","Interés Beat"
